,ID,task,block,trial,fiksacja3,fiksacja3_dur,fiksacja,fiksacja_dur,stimulus_type,stimulus,duration_type,duration,maska,maska_dur,fiksacja2,fiksacja2_dur,beh_response,response_dur,button,accuracy,accuracy_RT,pas_response,pas_response_dur,PAS,PAS_RT
5655,dc1_27,high,2,60,575.6116,2.0102,577.6218,1.7399,sc1,579.3617,dur1,0.0117,579.3734,0.2469,579.6203,6.0072,585.6393,1.5165,41.0,1.0,712.2,587.1675,1.3402,1.0,677.0
5656,dc1_27,high,2,61,588.5077,1.011,589.5187,1.7398,mn9,591.2585,dur2,0.0471,591.3056,0.2468,591.5524,2.0103,593.5744,1.5165,51.0,0.0,638.0,595.1027,1.3401,1.0,557.6
5657,dc1_27,high,2,63,606.3412,1.011,607.3522,1.7399,mc3,609.0921,dur1,0.0117,609.1038,0.2469,609.3507,6.0072,615.3697,1.5165,41.0,1.0,400.5,616.8979,1.3402,1.0,399.0
5658,dc1_27,high,2,68,654.8338,1.011,655.8448,1.7399,mn1,657.5847,dur1,0.0117,657.5964,0.2469,657.8433,2.0102,659.8653,1.5165,41.0,1.0,339.5,661.3936,1.3401,1.0,746.0
5659,dc1_27,high,2,69,662.7337,1.011,663.7447,1.7399,sc9,665.4846,dur1,0.0117,665.4963,0.2469,665.7432,2.0102,667.7652,1.5165,51.0,0.0,412.9,669.2935,1.3401,1.0,530.4
5660,dc1_27,high,2,70,670.6336,1.011,671.6446,1.7399,sc3,673.3845,dur1,0.0117,673.3962,0.2469,673.6431,6.0072,679.662,1.5165,54.0,0.0,362.4,681.1903,1.3402,1.0,467.8
5661,dc1_27,high,2,72,691.4296,1.011,692.4406,1.7398,sn9,694.1804,dur3,0.0823,694.2627,0.2469,694.5096,2.0102,696.5316,1.5165,44.0,1.0,312.0,698.0599,1.3401,3.0,533.2
5662,dc1_27,high,2,73,699.4,1.011,700.411,1.7399,sc3,702.1509,dur3,0.0823,702.2332,0.2468,702.48,2.0103,704.502,1.5165,41.0,1.0,524.8,706.0303,1.3401,1.0,393.1
5663,dc1_27,high,2,74,707.3704,2.0103,709.3807,1.7398,mc1,711.1205,dur1,0.0118,711.1323,0.2469,711.3792,2.0102,713.4012,1.5164,41.0,1.0,820.1,714.9294,1.3402,1.0,608.1
5664,dc1_27,high,2,75,716.2696,3.0094,719.279,1.7399,mn7,721.0189,dur3,0.0823,721.1012,0.2469,721.3481,6.0072,727.367,1.5165,44.0,1.0,440.2,728.8953,1.3401,2.0,452.4
5665,dc1_27,high,2,76,730.2354,2.0103,732.2457,1.7398,sn1,733.9855,dur3,0.0823,734.0678,0.2469,734.3147,2.0102,736.3367,1.5165,41.0,1.0,357.5,737.8649,1.3402,3.0,389.6
5666,dc1_27,high,2,77,739.2051,3.0095,742.2146,1.7398,sc9,743.9544,dur2,0.0471,744.0015,0.2468,744.2483,4.0087,748.2688,1.5165,51.0,0.0,796.1,749.7971,1.3401,1.0,724.1
5667,dc1_27,high,2,78,751.1372,1.011,752.1482,1.7399,mn9,753.8881,dur1,0.0117,753.8998,0.2469,754.1467,2.0102,756.1687,1.5165,51.0,0.0,697.8,757.697,1.3401,1.0,401.2
5668,dc1_27,high,2,79,759.0371,1.011,760.0481,1.7399,sc7,761.788,dur1,0.0117,761.7997,0.2469,762.0466,2.0102,764.0686,1.5165,51.0,0.0,722.1,765.5968,1.3402,1.0,402.2
5669,dc1_28,low,1,1,0.0076,1.011,1.0186,1.7399,mc7,2.7585,dur1,0.0118,2.7703,0.2468,3.0171,6.0072,9.0361,1.5165,44.0,1.0,434.8,10.5643,1.4813,1.0,271.6
5670,dc1_28,low,1,2,12.0573,3.0095,15.0668,1.7399,mn9,16.8067,dur2,0.047,16.8537,0.2469,17.1006,2.0102,19.1226,1.5165,54.0,0.0,346.9,20.6508,1.446,1.0,246.9
5671,dc1_28,low,1,4,31.1605,2.0102,33.1707,1.7399,sc1,34.9106,dur1,0.0117,34.9223,0.2469,35.1692,2.0102,37.1912,1.5165,44.0,1.0,398.0,38.7194,1.4813,1.0,218.8
5672,dc1_28,low,1,5,40.2124,2.0103,42.2227,1.7398,sc7,43.9625,dur2,0.047,44.0095,0.2469,44.2564,2.0103,46.2784,1.5165,44.0,1.0,322.7,47.8067,1.4459,2.0,295.7
5673,dc1_28,low,1,6,49.2644,1.011,50.2754,1.7398,sn9,52.0152,dur2,0.0471,52.0623,0.2468,52.3091,6.0072,58.3281,1.5165,41.0,1.0,326.5,59.8563,1.446,2.0,305.1
5674,dc1_28,low,1,7,61.3141,1.011,62.3251,1.7398,sc7,64.0649,dur3,0.0823,64.1472,0.2469,64.3941,2.0102,66.4161,1.5165,44.0,1.0,380.6,67.9443,1.4107,2.0,261.3
5675,dc1_28,low,1,8,69.3668,2.0102,71.377,1.7399,mc3,73.1169,dur1,0.0117,73.1286,0.2469,73.3755,4.0087,77.396,1.5165,51.0,0.0,323.9,78.9242,1.4813,2.0,302.5
5676,dc1_28,low,1,9,80.4172,3.0095,83.4267,1.7398,sc7,85.1665,dur1,0.0118,85.1783,0.2469,85.4252,2.0102,87.4472,1.5165,51.0,0.0,580.7,88.9754,1.4813,1.0,381.4
5677,dc1_28,low,1,11,99.5204,3.0095,102.5299,1.7398,mn3,104.2697,dur1,0.0118,104.2815,0.2468,104.5283,2.0103,106.5503,1.5165,41.0,1.0,1005.2,108.0786,1.4812,1.0,312.2
5678,dc1_28,low,1,12,109.5716,1.011,110.5826,1.7398,sn3,112.3224,dur2,0.047,112.3694,0.2469,112.6163,6.0072,118.6353,1.5165,41.0,1.0,333.3,120.1635,1.446,2.0,303.4
5679,dc1_28,low,1,13,121.6212,1.011,122.6322,1.7399,sn3,124.3721,dur1,0.0118,124.3839,0.2468,124.6307,2.0103,126.6527,1.5165,41.0,1.0,458.0,128.181,1.4812,2.0,398.0
5680,dc1_28,low,1,14,129.674,2.0102,131.6842,1.7399,mn7,133.4241,dur1,0.0117,133.4358,0.2469,133.6827,6.0072,139.7016,1.5165,54.0,0.0,362.3,141.2299,1.4812,2.0,372.1
5681,dc1_28,low,1,15,142.7229,2.0102,144.7331,1.7399,mn3,146.473,dur4,0.1528,146.6258,0.2469,146.8727,2.0102,148.8947,1.5165,41.0,1.0,528.8,150.4229,1.3402,2.0,365.8
5682,dc1_28,low,1,16,151.7631,1.011,152.7741,1.7398,mc9,154.5139,dur2,0.0471,154.561,0.2468,154.8078,4.0087,158.8283,1.5165,44.0,1.0,390.8,160.3565,1.3402,3.0,285.3
5683,dc1_28,low,1,17,161.6967,3.0095,164.7062,1.7399,mc9,166.4461,dur1,0.0117,166.4578,0.2469,166.7047,2.0102,168.7267,1.5165,44.0,1.0,436.6,170.2549,1.3402,1.0,283.4
5684,dc1_28,low,1,19,180.4942,1.011,181.5052,1.7399,mc1,183.2451,dur3,0.0823,183.3274,0.2468,183.5742,2.0103,185.5962,1.5165,44.0,1.0,299.6,187.1245,1.3401,3.0,420.9
5685,dc1_28,low,1,20,188.4646,1.011,189.4756,1.7399,mn7,191.2155,dur4,0.1528,191.3683,0.2469,191.6152,2.0102,193.6372,1.5165,41.0,1.0,414.0,195.1654,1.3402,2.0,332.3
5686,dc1_28,low,1,21,196.5056,2.0102,198.5158,1.7399,sc3,200.2557,dur1,0.0117,200.2674,0.2469,200.5143,2.0103,202.5363,1.5165,44.0,1.0,497.4,204.0646,1.3401,1.0,226.2
5687,dc1_28,low,1,22,205.4047,1.011,206.4157,1.7399,mn9,208.1556,dur1,0.0117,208.1673,0.2469,208.4142,2.0102,210.4362,1.5165,54.0,0.0,363.9,211.9645,1.3401,2.0,884.0
5688,dc1_28,low,1,24,227.1999,3.0095,230.2094,1.7399,mn3,231.9493,dur2,0.047,231.9963,0.2469,232.2432,2.0102,234.2652,1.5165,54.0,0.0,352.1,235.7934,1.3402,2.0,365.3
5689,dc1_28,low,1,25,237.1336,2.0102,239.1438,1.7399,mc1,240.8837,dur4,0.1528,241.0365,0.2469,241.2834,2.0102,243.3054,1.5165,44.0,1.0,356.7,244.8336,1.3402,3.0,287.2
5690,dc1_28,low,1,26,246.1738,3.0095,249.1833,1.7398,sc9,250.9231,dur4,0.1529,251.076,0.2468,251.3228,2.0103,253.3448,1.5165,44.0,1.0,378.1,254.8731,1.3401,3.0,458.7
5691,dc1_28,low,1,29,277.0092,3.0095,280.0187,1.7398,sc9,281.7585,dur2,0.0471,281.8056,0.2468,282.0524,2.0103,284.0744,1.5165,44.0,1.0,404.6,285.6027,1.3402,2.0,743.4
5692,dc1_28,low,1,30,286.9429,2.0102,288.9531,1.7398,sn1,290.6929,dur2,0.0471,290.74,0.2468,290.9868,2.0103,293.0088,1.5165,54.0,0.0,560.7,294.5371,1.3401,1.0,310.4
5693,dc1_28,low,1,31,295.8772,1.011,296.8882,1.7399,mn1,298.6281,dur1,0.0118,298.6399,0.2468,298.8867,2.0103,300.9087,1.5165,41.0,1.0,529.2,302.437,1.3401,1.0,517.3
5694,dc1_28,low,1,32,303.7771,3.0095,306.7866,1.7399,mn9,308.5265,dur4,0.1528,308.6793,0.2469,308.9262,2.0102,310.9482,1.5165,41.0,1.0,397.2,312.4764,1.3351,2.0,280.9
5695,dc1_28,low,1,33,313.8115,3.0028,316.8143,1.7398,mn1,318.5541,dur2,0.0471,318.6012,0.2468,318.848,2.0103,320.87,1.5165,41.0,1.0,570.0,322.3983,1.3402,1.0,464.0
5696,dc1_28,low,1,35,333.6368,2.0103,335.6471,1.7398,mc1,337.3869,dur2,0.047,337.4339,0.2469,337.6808,2.0102,339.7028,1.5165,44.0,1.0,470.1,341.2311,1.3401,2.0,319.5
5697,dc1_28,low,1,36,342.5712,1.011,343.5822,1.7399,mc3,345.3221,dur4,0.1528,345.4749,0.2469,345.7218,2.0102,347.7438,1.5165,44.0,1.0,315.2,349.272,1.3402,4.0,256.7
